user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDJS0000751588f,18-24,Tier 1,6/10/2024,Premium,NULL,NULL,NULL
UIDJS000093eeb86,18-24,Tier 1,11/9/2024,Free,NULL,NULL,NULL
UIDJS00010d7fa1e,25-34,Tier 1,8/8/2024,Free,NULL,NULL,NULL
UIDJS00013411a85,35-44,Tier 2,5/31/2024,VIP,NULL,NULL,NULL
UIDJS0003a3f54cf,35-44,Tier 1,9/20/2024,Premium,NULL,NULL,NULL
UIDJS0003c1e814d,45+,Tier 1,9/29/2024,Free,NULL,NULL,NULL
UIDJS0005148a254,18-24,Tier 1,11/10/2024,Premium,NULL,NULL,NULL
UIDJS00053f36fed,25-34,Tier 1,3/7/2024,Premium,NULL,NULL,NULL
UIDJS00054eb2210,25-34,Tier 3,4/12/2024,Premium,NULL,NULL,NULL
UIDJS0005f952957,25-34,Tier 3,9/29/2024,VIP,12/2/2024,NULL,NULL
UIDJS00066780176,35-44,Tier 2,8/14/2024,Free,10/5/2024,NULL,NULL
UIDJS00095c87d92,35-44,Tier 1,6/6/2024,Premium,7/22/2024,NULL,NULL
UIDJS000cd6a7fe8,25-34,Tier 1,9/18/2024,Premium,NULL,12/18/2024,VIP
UIDJS000e99e1896,25-34,Tier 1,5/14/2024,Free,NULL,NULL,NULL
UIDJS0010511043c,45+,Tier 1,10/13/2024,VIP,NULL,NULL,NULL
UIDJS00128a22453,25-34,Tier 1,11/19/2024,VIP,NULL,NULL,NULL
UIDJS001420c2f0f,25-34,Tier 2,4/25/2024,VIP,11/13/2024,NULL,NULL
UIDJS0014d1ad763,18-24,Tier 1,8/10/2024,Free,NULL,NULL,NULL
UIDJS0018cdf086d,25-34,Tier 2,3/18/2024,VIP,NULL,NULL,NULL
UIDJS0019b04b32f,18-24,Tier 1,2/11/2024,VIP,NULL,8/11/2024,Free
UIDJS001aa8810f4,25-34,Tier 1,6/23/2024,Premium,NULL,NULL,NULL
UIDJS001b7c6be2d,18-24,Tier 1,11/3/2024,Premium,NULL,NULL,NULL
UIDJS001cbec7b1d,18-24,Tier 1,8/29/2024,VIP,NULL,NULL,NULL
UIDJS001defd7e03,25-34,Tier 1,1/18/2024,VIP,NULL,8/18/2024,Free
UIDJS001e6dc7e2f,25-34,Tier 1,2/4/2024,VIP,NULL,NULL,NULL
UIDJS00242dbc61e,35-44,Tier 2,6/27/2024,Free,8/11/2024,NULL,NULL
UIDJS00248560e10,25-34,Tier 1,2/15/2024,Premium,4/30/2024,NULL,NULL
UIDJS00252193546,25-34,Tier 1,2/1/2024,Premium,NULL,NULL,NULL
UIDJS0025897ad93,25-34,Tier 1,1/17/2024,Premium,4/12/2024,NULL,NULL
UIDJS0025e8e93b2,35-44,Tier 3,6/8/2024,Free,NULL,NULL,NULL
UIDJS00297537d46,25-34,Tier 2,7/25/2024,Premium,NULL,NULL,NULL
UIDJS002b38945e6,25-34,Tier 1,4/30/2024,Free,NULL,NULL,NULL
UIDJS002baf6c79c,25-34,Tier 2,4/21/2024,VIP,6/14/2024,NULL,NULL
UIDJS002d56c1d84,18-24,Tier 1,6/26/2024,Premium,NULL,NULL,NULL
UIDJS002d59d668d,25-34,Tier 3,6/24/2024,VIP,NULL,NULL,NULL
UIDJS002d8a58c00,25-34,Tier 2,11/13/2024,Premium,NULL,NULL,NULL
UIDJS0030d2ca727,35-44,Tier 1,6/15/2024,Free,NULL,NULL,NULL
UIDJS003113ce2ed,35-44,Tier 2,9/13/2024,Premium,NULL,NULL,NULL
UIDJS0033e4455c2,35-44,Tier 1,3/27/2024,Premium,NULL,NULL,NULL
UIDJS003406cc9c7,45+,Tier 1,3/7/2024,VIP,NULL,NULL,NULL
UIDJS003471b56f7,35-44,Tier 2,3/26/2024,VIP,4/29/2024,NULL,NULL
UIDJS00362b6934f,25-34,Tier 1,2/12/2024,VIP,NULL,NULL,NULL
UIDJS00363233d30,25-34,Tier 2,11/10/2024,VIP,NULL,NULL,NULL
UIDJS0037184af24,25-34,Tier 1,5/27/2024,VIP,NULL,NULL,NULL
UIDJS0037cb06cd4,18-24,Tier 2,2/28/2024,Free,NULL,NULL,NULL
UIDJS003b1496e3a,35-44,Tier 1,6/25/2024,VIP,NULL,NULL,NULL
UIDJS003b75e0d7b,25-34,Tier 1,7/7/2024,Free,NULL,NULL,NULL
UIDJS003cb5a2cd7,35-44,Tier 1,6/5/2024,VIP,NULL,10/5/2024,Free
UIDJS003cc71ec21,18-24,Tier 1,5/18/2024,VIP,6/29/2024,NULL,NULL
UIDJS003d5858107,35-44,Tier 1,10/9/2024,Premium,NULL,NULL,NULL
UIDJS003f249ed91,45+,Tier 1,8/19/2024,Premium,NULL,NULL,NULL
UIDJS0043565a103,35-44,Tier 1,8/13/2024,Free,NULL,NULL,NULL
UIDJS00439d9c88d,35-44,Tier 1,4/16/2024,VIP,NULL,NULL,NULL
UIDJS0044084587c,35-44,Tier 2,4/20/2024,Free,8/21/2024,NULL,NULL
UIDJS004528b5ccc,35-44,Tier 1,8/15/2024,VIP,10/1/2024,NULL,NULL
UIDJS0045d928078,18-24,Tier 2,4/22/2024,VIP,5/22/2024,NULL,NULL
UIDJS00461ce8fc9,25-34,Tier 1,8/10/2024,Free,10/8/2024,NULL,NULL
UIDJS0048244a0a2,18-24,Tier 2,1/18/2024,Premium,NULL,NULL,NULL
UIDJS004c0eb4154,25-34,Tier 2,2/26/2024,VIP,NULL,9/26/2024,Free
UIDJS004d1ca89e3,18-24,Tier 1,3/31/2024,VIP,NULL,8/31/2024,Free
UIDJS004da81efab,35-44,Tier 3,2/23/2024,VIP,NULL,NULL,NULL
UIDJS004e82d55ce,25-34,Tier 2,4/11/2024,VIP,8/19/2024,NULL,NULL
UIDJS005262ef45f,25-34,Tier 2,3/24/2024,VIP,NULL,NULL,NULL
UIDJS0052a73a7f9,45+,Tier 1,9/1/2024,Premium,NULL,NULL,NULL
UIDJS0053c077296,35-44,Tier 1,3/20/2024,Free,NULL,NULL,NULL
UIDJS00547d09a4d,18-24,Tier 1,11/24/2024,VIP,NULL,NULL,NULL
UIDJS00562c35b05,35-44,Tier 2,10/29/2024,VIP,NULL,NULL,NULL
UIDJS00562d6f82f,25-34,Tier 3,9/9/2024,VIP,NULL,NULL,NULL
UIDJS00565316de3,25-34,Tier 1,8/22/2024,Premium,NULL,NULL,NULL
UIDJS00569c3c6ff,25-34,Tier 2,3/23/2024,VIP,NULL,NULL,NULL
UIDJS00590fc3a14,25-34,Tier 1,7/3/2024,Premium,NULL,NULL,NULL
UIDJS005c98ffd26,25-34,Tier 1,8/22/2024,Premium,NULL,NULL,NULL
UIDJS005d53dae49,45+,Tier 3,5/31/2024,Free,NULL,NULL,NULL
UIDJS005e7052e4e,18-24,Tier 1,10/21/2024,Premium,NULL,NULL,NULL
UIDJS005f238dbb0,45+,Tier 2,4/3/2024,Premium,NULL,8/3/2024,Free
UIDJS00604c50864,18-24,Tier 2,6/13/2024,Premium,NULL,NULL,NULL
UIDJS006315e24bf,45+,Tier 1,1/4/2024,Free,NULL,3/4/2024,Premium
UIDJS0063b1fe9a3,35-44,Tier 1,5/25/2024,VIP,NULL,7/25/2024,Free
UIDJS0064188c0ae,35-44,Tier 2,6/20/2024,Premium,11/5/2024,NULL,NULL
UIDJS0065253546b,35-44,Tier 2,11/5/2024,VIP,NULL,NULL,NULL
UIDJS00657416ff9,25-34,Tier 1,6/19/2024,VIP,NULL,NULL,NULL
UIDJS006711c9331,25-34,Tier 1,5/22/2024,Free,NULL,6/22/2024,VIP
UIDJS0067d2c2acc,35-44,Tier 1,7/1/2024,Premium,11/8/2024,NULL,NULL
UIDJS0069a46fa8c,35-44,Tier 3,11/26/2024,VIP,NULL,NULL,NULL
UIDJS006baaf046e,18-24,Tier 1,3/25/2024,Free,NULL,NULL,NULL
UIDJS00704f84649,35-44,Tier 1,8/29/2024,VIP,10/29/2024,NULL,NULL
UIDJS00724c21312,25-34,Tier 2,9/29/2024,VIP,NULL,NULL,NULL
UIDJS0074346f6bf,35-44,Tier 1,6/17/2024,Premium,NULL,NULL,NULL
UIDJS00753e2f5d5,25-34,Tier 3,4/4/2024,VIP,NULL,5/4/2024,Premium
UIDJS007b5054731,25-34,Tier 1,3/19/2024,Free,NULL,9/19/2024,VIP
UIDJS0080031cb59,25-34,Tier 1,11/21/2024,Premium,NULL,NULL,NULL
UIDJS008051a9e72,25-34,Tier 3,7/6/2024,Free,NULL,NULL,NULL
UIDJS0081b973d9f,25-34,Tier 1,10/13/2024,Free,NULL,NULL,NULL
UIDJS00849c6506c,25-34,Tier 1,10/31/2024,VIP,NULL,NULL,NULL
UIDJS0084cfde42c,35-44,Tier 1,2/13/2024,VIP,NULL,3/13/2024,Premium
UIDJS008583491a5,18-24,Tier 1,8/28/2024,Premium,NULL,NULL,NULL
UIDJS0088af6fcf3,25-34,Tier 2,8/24/2024,Premium,NULL,NULL,NULL
UIDJS0088c64821a,35-44,Tier 1,1/9/2024,Premium,NULL,6/9/2024,VIP
UIDJS008904fb4c2,25-34,Tier 1,10/8/2024,Free,NULL,NULL,NULL
UIDJS00894ecbea2,18-24,Tier 2,9/17/2024,VIP,NULL,NULL,NULL
UIDJS00895f1086c,45+,Tier 1,8/5/2024,VIP,NULL,NULL,NULL
UIDJS0089ccca84b,35-44,Tier 3,5/16/2024,Free,11/2/2024,NULL,NULL
UIDJS008c56bb33d,25-34,Tier 1,3/5/2024,Premium,NULL,NULL,NULL
UIDJS008c6bf1240,25-34,Tier 2,2/29/2024,Premium,NULL,NULL,NULL
UIDJS008d20198a3,25-34,Tier 1,8/4/2024,VIP,NULL,NULL,NULL
UIDJS008d51689ae,45+,Tier 1,8/25/2024,Premium,NULL,NULL,NULL
UIDJS008fe1ea9ab,25-34,Tier 1,2/23/2024,Free,NULL,9/23/2024,Premium
UIDJS009625d7cf8,18-24,Tier 1,3/29/2024,Premium,NULL,NULL,NULL
UIDJS0097962fdbe,25-34,Tier 1,5/14/2024,Premium,NULL,NULL,NULL
UIDJS009a975c2e1,25-34,Tier 1,10/17/2024,VIP,NULL,11/17/2024,Premium
UIDJS009c2aa38ad,35-44,Tier 1,8/1/2024,VIP,NULL,NULL,NULL
UIDJS009c77ed3b6,18-24,Tier 1,2/6/2024,Premium,NULL,NULL,NULL
UIDJS009d0800903,25-34,Tier 1,10/21/2024,Premium,NULL,NULL,NULL
UIDJS009e8ee704d,25-34,Tier 1,3/19/2024,Free,10/18/2024,NULL,NULL
UIDJS009eabf9e61,25-34,Tier 2,11/22/2024,Free,NULL,NULL,NULL
UIDJS00a06464c5f,25-34,Tier 1,9/17/2024,Free,NULL,NULL,NULL
UIDJS00a2e4c9712,18-24,Tier 1,5/1/2024,Free,NULL,NULL,NULL
UIDJS00a3f3bb005,18-24,Tier 1,8/22/2024,VIP,NULL,NULL,NULL
UIDJS00a4a28bba0,25-34,Tier 1,3/2/2024,Premium,NULL,NULL,NULL
UIDJS00a533dec6f,35-44,Tier 1,2/13/2024,Free,NULL,NULL,NULL
UIDJS00a70c2d65b,25-34,Tier 1,11/15/2024,VIP,NULL,NULL,NULL
UIDJS00a8ec2d48f,25-34,Tier 2,11/24/2024,Free,NULL,NULL,NULL
UIDJS00a9dd47915,35-44,Tier 1,1/12/2024,Premium,NULL,NULL,NULL
UIDJS00aa80b3d62,25-34,Tier 3,10/19/2024,VIP,NULL,NULL,NULL
UIDJS00ab7f72df6,25-34,Tier 1,3/8/2024,VIP,NULL,NULL,NULL
UIDJS00afe9e654f,35-44,Tier 2,7/25/2024,Free,NULL,NULL,NULL
UIDJS00b13ca0a86,25-34,Tier 1,5/13/2024,Free,NULL,NULL,NULL
UIDJS00b2f7a03ff,18-24,Tier 1,9/18/2024,VIP,12/14/2024,NULL,NULL
UIDJS00b38e44e50,45+,Tier 1,9/7/2024,VIP,NULL,NULL,NULL
UIDJS00b415b3873,25-34,Tier 1,8/12/2024,Free,NULL,NULL,NULL
UIDJS00b4213ab43,25-34,Tier 1,7/8/2024,Premium,NULL,NULL,NULL
UIDJS00b646c2cfa,35-44,Tier 2,8/29/2024,Premium,NULL,NULL,NULL
UIDJS00b9699bdef,25-34,Tier 2,10/18/2024,VIP,NULL,NULL,NULL
UIDJS00b9999559e,25-34,Tier 1,8/9/2024,Premium,NULL,10/9/2024,Free
UIDJS00bb364c356,18-24,Tier 1,2/4/2024,VIP,10/8/2024,NULL,NULL
UIDJS00bc41929e3,25-34,Tier 1,1/2/2024,Premium,NULL,NULL,NULL
UIDJS00bc4e81240,45+,Tier 2,8/19/2024,VIP,12/16/2024,NULL,NULL
UIDJS00bea31d4c6,25-34,Tier 1,6/21/2024,Premium,NULL,NULL,NULL
UIDJS00bf95da3ab,25-34,Tier 1,11/21/2024,VIP,NULL,NULL,NULL
UIDJS00c01dc7f36,45+,Tier 2,8/29/2024,Free,NULL,NULL,NULL
UIDJS00c12b09fce,45+,Tier 2,10/27/2024,VIP,NULL,NULL,NULL
UIDJS00c5c5db3e0,25-34,Tier 2,6/10/2024,VIP,NULL,NULL,NULL
UIDJS00c6661754b,35-44,Tier 2,11/13/2024,Free,NULL,NULL,NULL
UIDJS00cbf1145b1,35-44,Tier 1,11/4/2024,Premium,NULL,NULL,NULL
UIDJS00cc522b835,25-34,Tier 3,7/8/2024,VIP,NULL,9/8/2024,Premium
UIDJS00cd9c982d1,45+,Tier 1,7/3/2024,VIP,NULL,NULL,NULL
UIDJS00cfea4dfd3,25-34,Tier 3,2/7/2024,Free,NULL,NULL,NULL
UIDJS00d0490d594,18-24,Tier 1,8/19/2024,Premium,NULL,NULL,NULL
UIDJS00d40312e2c,18-24,Tier 1,7/19/2024,Premium,NULL,NULL,NULL
UIDJS00d4428a59a,18-24,Tier 2,7/16/2024,Premium,NULL,NULL,NULL
UIDJS00d7a5a87d0,25-34,Tier 1,5/21/2024,VIP,NULL,11/21/2024,Free
UIDJS00d8867463a,25-34,Tier 3,8/25/2024,Free,NULL,9/25/2024,Premium
UIDJS00da47f7091,35-44,Tier 2,9/2/2024,VIP,NULL,NULL,NULL
UIDJS00db757802d,18-24,Tier 3,2/2/2024,VIP,NULL,8/2/2024,Free
UIDJS00dccf092c8,25-34,Tier 2,5/2/2024,Free,NULL,NULL,NULL
UIDJS00de1e546a5,35-44,Tier 1,8/20/2024,Premium,NULL,NULL,NULL
UIDJS00df921f5f7,25-34,Tier 1,8/26/2024,VIP,NULL,12/26/2024,Free
UIDJS00dfd707f4a,45+,Tier 2,7/9/2024,Premium,NULL,NULL,NULL
UIDJS00e0574eff7,25-34,Tier 1,4/23/2024,VIP,NULL,6/23/2024,Premium
UIDJS00e0d5425aa,45+,Tier 1,5/21/2024,Free,NULL,NULL,NULL
UIDJS00e408cc296,45+,Tier 1,5/25/2024,VIP,7/12/2024,NULL,NULL
UIDJS00e493640aa,25-34,Tier 2,7/5/2024,Premium,NULL,NULL,NULL
UIDJS00e5f02e1a4,25-34,Tier 3,11/13/2024,Free,NULL,NULL,NULL
UIDJS00e9194e96f,25-34,Tier 2,5/22/2024,VIP,NULL,NULL,NULL
UIDJS00e96d887cb,18-24,Tier 1,11/18/2024,Free,NULL,NULL,NULL
UIDJS00e9da8618e,25-34,Tier 3,2/28/2024,Free,9/14/2024,NULL,NULL
UIDJS00ec8926486,25-34,Tier 3,4/24/2024,VIP,5/24/2024,NULL,NULL
UIDJS00ed1970ef8,45+,Tier 1,10/21/2024,Premium,12/5/2024,NULL,NULL
UIDJS00ed69c840e,18-24,Tier 3,4/18/2024,Free,8/9/2024,NULL,NULL
UIDJS00eebacd063,25-34,Tier 2,3/17/2024,VIP,NULL,NULL,NULL
UIDJS00ef400a3d0,25-34,Tier 1,11/21/2024,Free,12/12/2024,NULL,NULL
UIDJS00f080227ef,25-34,Tier 2,3/12/2024,Free,NULL,5/12/2024,Premium
UIDJS00f0a6e9826,35-44,Tier 2,10/3/2024,VIP,NULL,NULL,NULL
UIDJS00f0edc6a57,25-34,Tier 3,6/8/2024,Premium,NULL,NULL,NULL
UIDJS00f156b9ccd,25-34,Tier 2,10/16/2024,Premium,NULL,NULL,NULL
UIDJS00f1e7456eb,35-44,Tier 3,10/2/2024,VIP,NULL,NULL,NULL
UIDJS00f26419235,25-34,Tier 2,2/24/2024,VIP,NULL,NULL,NULL
UIDJS00f4e386e93,18-24,Tier 2,2/16/2024,Free,NULL,NULL,NULL
UIDJS00f56feb067,25-34,Tier 2,1/18/2024,Free,10/31/2024,NULL,NULL
UIDJS00f57fb34ad,35-44,Tier 1,4/5/2024,Free,NULL,10/5/2024,VIP
UIDJS00f6bafa38f,25-34,Tier 1,5/9/2024,Premium,NULL,NULL,NULL
UIDJS00f729149fb,45+,Tier 1,10/5/2024,VIP,NULL,NULL,NULL
UIDJS00f79d2a1c7,25-34,Tier 1,3/10/2024,Premium,NULL,NULL,NULL
UIDJS00f8324700a,35-44,Tier 1,11/6/2024,VIP,NULL,NULL,NULL
UIDJS00f89c766ae,18-24,Tier 3,3/17/2024,Free,NULL,NULL,NULL
UIDJS00f915617e5,35-44,Tier 1,8/16/2024,Premium,NULL,NULL,NULL
UIDJS00fa4cda216,45+,Tier 1,9/22/2024,Free,NULL,NULL,NULL
UIDJS00fa7f84e35,25-34,Tier 2,2/6/2024,VIP,4/16/2024,NULL,NULL
UIDJS00fab440908,25-34,Tier 2,4/6/2024,VIP,NULL,8/6/2024,Free
UIDJS00fc21001b2,35-44,Tier 1,2/5/2024,Premium,NULL,NULL,NULL
UIDJS00fc3346ab4,45+,Tier 1,1/31/2024,VIP,NULL,9/30/2024,Premium
UIDJS00fcea5e88b,25-34,Tier 3,3/8/2024,Free,6/15/2024,NULL,NULL
UIDJS00fdffbd023,35-44,Tier 3,1/19/2024,Free,NULL,NULL,NULL
UIDJS010211941c2,18-24,Tier 1,9/6/2024,VIP,NULL,NULL,NULL
UIDJS01027b42f6e,25-34,Tier 1,7/19/2024,Free,9/20/2024,NULL,NULL
UIDJS0102ee4140a,45+,Tier 2,7/8/2024,VIP,NULL,NULL,NULL
UIDJS01048508146,35-44,Tier 3,9/1/2024,Free,NULL,NULL,NULL
UIDJS01063267841,45+,Tier 1,2/14/2024,VIP,NULL,4/14/2024,Premium
UIDJS01064870bff,45+,Tier 1,11/26/2024,VIP,NULL,NULL,NULL
UIDJS01079a7f0e3,45+,Tier 2,9/2/2024,VIP,NULL,NULL,NULL
UIDJS01079f32167,18-24,Tier 1,9/9/2024,Premium,NULL,NULL,NULL
UIDJS0108248456a,25-34,Tier 3,11/21/2024,Free,NULL,NULL,NULL
UIDJS0109f4c4d93,35-44,Tier 2,4/17/2024,VIP,NULL,5/17/2024,Premium
UIDJS010a79036c3,25-34,Tier 1,7/18/2024,VIP,NULL,NULL,NULL
UIDJS010c670b03a,25-34,Tier 2,7/23/2024,VIP,11/15/2024,NULL,NULL
UIDJS010eeb72d39,35-44,Tier 1,2/21/2024,VIP,NULL,NULL,NULL
UIDJS010f94e9948,25-34,Tier 2,5/6/2024,Premium,NULL,NULL,NULL
UIDJS0110b76f4f6,25-34,Tier 1,6/26/2024,Free,NULL,NULL,NULL
UIDJS01164dc9bc1,18-24,Tier 1,2/27/2024,Free,4/7/2024,NULL,NULL
UIDJS0117d98e94f,25-34,Tier 2,10/26/2024,VIP,NULL,11/26/2024,Free
UIDJS0117e9cd114,25-34,Tier 1,2/17/2024,Premium,NULL,NULL,NULL
UIDJS011af89a1d5,25-34,Tier 1,6/1/2024,Premium,NULL,NULL,NULL
UIDJS011de7f415b,25-34,Tier 3,4/5/2024,VIP,NULL,10/5/2024,Premium
UIDJS011e658a77a,25-34,Tier 3,6/29/2024,VIP,NULL,NULL,NULL
UIDJS012131dc360,18-24,Tier 1,11/2/2024,Premium,NULL,NULL,NULL
UIDJS0121c44215f,25-34,Tier 2,9/26/2024,VIP,NULL,NULL,NULL
UIDJS0122a4196c0,45+,Tier 3,4/6/2024,Free,NULL,NULL,NULL
UIDJS0122c0f9392,35-44,Tier 1,7/9/2024,Free,9/23/2024,NULL,NULL
UIDJS0122c44f084,25-34,Tier 1,1/30/2024,Premium,3/25/2024,NULL,NULL
UIDJS0124eea2804,18-24,Tier 2,1/12/2024,VIP,NULL,NULL,NULL
UIDJS0128cfdc2b5,25-34,Tier 1,7/28/2024,VIP,NULL,NULL,NULL
UIDJS01296986b28,25-34,Tier 2,1/3/2024,Free,NULL,NULL,NULL
UIDJS0129730f7e2,18-24,Tier 1,5/8/2024,Free,NULL,7/8/2024,Premium
UIDJS012b66943fe,18-24,Tier 1,9/6/2024,Free,10/18/2024,NULL,NULL
UIDJS012c875c469,45+,Tier 1,10/29/2024,VIP,NULL,NULL,NULL
UIDJS012d981027d,18-24,Tier 1,4/5/2024,VIP,9/21/2024,NULL,NULL
UIDJS01301bc458d,18-24,Tier 1,9/27/2024,Premium,NULL,NULL,NULL
UIDJS0130e78a627,45+,Tier 2,7/2/2024,VIP,8/13/2024,NULL,NULL
UIDJS01316c0caa1,25-34,Tier 2,1/2/2024,VIP,NULL,NULL,NULL
UIDJS0137a1bb303,25-34,Tier 1,11/1/2024,Premium,NULL,NULL,NULL
UIDJS0139345516e,25-34,Tier 1,8/25/2024,Premium,NULL,NULL,NULL
UIDJS013b7d353d7,25-34,Tier 1,8/4/2024,Free,NULL,NULL,NULL
UIDJS013ce2ca1ab,25-34,Tier 2,4/19/2024,VIP,NULL,NULL,NULL
UIDJS013d9f02cd4,45+,Tier 2,7/17/2024,Free,12/5/2024,NULL,NULL
UIDJS013fa103eee,18-24,Tier 2,2/7/2024,Premium,6/4/2024,NULL,NULL
UIDJS013faa28b4a,25-34,Tier 1,8/29/2024,Premium,NULL,NULL,NULL
UIDJS01405aa26b2,35-44,Tier 1,3/9/2024,VIP,NULL,NULL,NULL
UIDJS0140a10faeb,18-24,Tier 1,4/10/2024,VIP,NULL,NULL,NULL
UIDJS0142982988f,25-34,Tier 1,6/5/2024,Premium,NULL,NULL,NULL
UIDJS01453764f9c,25-34,Tier 1,4/28/2024,Premium,NULL,NULL,NULL
UIDJS01455570436,35-44,Tier 1,8/28/2024,VIP,NULL,NULL,NULL
UIDJS014777a2531,45+,Tier 2,1/9/2024,VIP,NULL,NULL,NULL
UIDJS0148a1f2e7c,45+,Tier 3,7/6/2024,Free,NULL,9/6/2024,VIP
UIDJS01492774b54,25-34,Tier 1,3/7/2024,VIP,NULL,4/7/2024,Premium
UIDJS0150116adda,18-24,Tier 2,8/23/2024,Free,NULL,NULL,NULL
UIDJS01513765e51,25-34,Tier 3,5/21/2024,Free,7/13/2024,NULL,NULL
UIDJS015140dde26,45+,Tier 2,11/20/2024,Free,NULL,NULL,NULL
UIDJS01531779cd9,18-24,Tier 3,2/15/2024,Free,NULL,NULL,NULL
UIDJS0154b86e997,18-24,Tier 3,1/9/2024,VIP,NULL,NULL,NULL
UIDJS0156848900b,25-34,Tier 1,7/15/2024,VIP,NULL,8/15/2024,Free
UIDJS01572d3fbf0,35-44,Tier 2,3/19/2024,Free,NULL,NULL,NULL
UIDJS0159170d1dc,35-44,Tier 1,8/26/2024,VIP,NULL,11/26/2024,Free
